Judet,ID,Cod
București,1,B
Alba,2,AB
Arad,3,AR
Argeş,4,AG
Bacău,5,BC
Bihor,6,BH
Bistriţa-Năsăud,7,BN
Botoşani,8,BT
Braşov,9,BV
Brăila,10,BR
Buzău,11,BZ
Caraş-Severin,12,CS
Călăraşi,13,CL
Cluj,14,CJ
Constanţa,15,CT
Covasna,16,CV
Dâmboviţa,17,DB
Dolj,18,DJ
Galaţi,19,GL
Giurgiu,20,GR
Gorj,21,GJ
Harghita,22,HR
Hunedoara,23,HD
Ialomiţa,24,IL
Iaşi,25,IS
Ilfov,26,IF
Maramureş,27,MM
Mehedinţi,28,MH
Mureş,29,MS
Neamţ,30,NT
Olt,31,OT
Prahova,32,PH
Satu Mare,33,SM
Sălaj,34,SJ
Sibiu,35,SB
Suceava,36,SV
Teleorman,37,TR
Timiş,38,TM
Tulcea,39,TL
Vaslui,40,VS
Vâlcea,41,VL
Vrancea,42,VN
